,household_ID,x_cord,y_cord,road_ID,Distance,resident_count,departure_time,type
638,28630.0,-96.16251475475514,28.65616056379139,3.0,62905.8333252592,0,305,0
639,23257.0,-95.33619867888645,28.92697486920379,257.0,1896.9640270886491,5,91,0
640,3214.0,-94.78056866513744,29.3019606138196,432.0,879.7017804212379,3,578,1
641,22935.0,-95.40109860385482,28.948278431855233,236.0,2685.8754304264853,5,13,2
642,15975.0,-94.85630377082218,29.286678156521106,428.0,652.5041330362753,5,377,0
643,4912.0,-94.8085095771721,29.29533568511318,429.0,3315.2625533533865,2,254,2
644,8754.0,-94.79513076552477,29.304677908732412,432.0,2434.826864838648,4,270,2
645,23513.0,-95.40523240465394,28.94151243061212,236.0,3197.460692702672,1,83,2
646,25426.0,-95.46423627049266,29.004815210530463,219.0,8416.122433493008,5,225,2
647,21740.0,-95.41147640734428,28.96432429184423,236.0,4456.313235546873,2,588,0
648,31144.0,-95.26943728205433,29.0460450588312,219.0,14289.58415706255,1,139,2
649,2119.0,-94.79458464283265,29.288854114613407,432.0,3108.7924753084353,2,719,0
650,31368.0,-95.32351735875159,29.013625350058334,219.0,7343.57600983488,2,695,2
651,20638.0,-94.93783307925978,29.214686734461377,428.0,12361.81035658011,3,298,1
652,17214.0,-94.83922856425723,29.265714072268814,430.0,1551.2660079404218,0,98,1
653,28480.0,-96.16805947379403,28.775089951643803,3.0,50196.93271296777,3,559,1
654,18476.0,-94.8610432068027,29.271777995621758,428.0,1749.977126917066,5,534,2
655,28765.0,-96.18666590726978,28.625800814269663,3.0,64953.29592270904,1,366,2
656,2055.0,-94.76439736766588,29.317478922206966,436.0,798.7333047162846,2,256,2
657,26271.0,-95.59379051743745,28.780192220813074,236.0,32070.967607169998,3,122,0
658,13321.0,-94.84157923796346,29.258870407406203,430.0,2060.129885813922,3,400,1
659,26414.0,-95.96439716148521,28.709728542364978,236.0,71967.83332351553,0,192,1
660,19521.0,-94.91397900679611,29.25290099255316,428.0,7124.045777329371,1,276,0
661,26512.0,-95.95953302497018,28.71923748006457,236.0,70976.8385970322,1,607,2
662,9836.0,-94.81580235487182,29.293921667559857,429.0,2484.6532402620587,4,680,1
663,31216.0,-95.33831345050751,29.054550250057094,219.0,8495.082022066117,5,19,0
664,21250.0,-94.67371800389888,29.463147352588518,431.0,17429.9198171921,5,388,0
665,18773.0,-94.85300312510971,29.266643084500842,428.0,2602.3595437248687,1,123,2
666,13209.0,-94.82823589270187,29.265511935818328,430.0,351.88613312425537,1,593,1
667,18297.0,-94.85678151285657,29.267343764581415,428.0,2384.39525070775,0,433,1
668,53.0,-94.78839539066223,29.293127324683116,432.0,2230.68593542392,3,706,1
669,15991.0,-94.8701570456531,29.28560482101371,428.0,908.4562948109309,1,498,0
670,812.0,-94.79418571987958,29.297788060887207,432.0,2485.6351583862092,2,37,1
671,22662.0,-95.36616690615939,28.93533860261198,236.0,1860.4868129254758,2,539,0
672,21412.0,-94.56052948398911,29.50134791694205,431.0,30132.247710745993,1,65,0
673,356.0,-94.79452841727901,29.291569869398547,432.0,2891.9834927423217,3,161,0
674,29129.0,-96.18008254621795,28.787055566404472,3.0,48172.99997654486,6,83,2
675,19438.0,-94.8987120621857,29.244082416046012,428.0,6677.476278012836,2,628,1
676,10772.0,-94.78547576537754,29.306095452788867,432.0,1373.7194826276896,1,662,0
677,2971.0,-94.7864021655907,29.29480527883909,432.0,1922.800433105438,2,303,2
678,10889.0,-94.78481909331158,29.308805121627444,432.0,1395.4327740780423,2,394,1
679,16170.0,-94.86942607213338,29.286097023046867,428.0,830.8370197464002,1,160,0
680,26929.0,-96.07414895079845,28.563878590932397,3.0,78044.21077564823,4,698,2
681,23918.0,-95.52356368883545,28.960576298030524,219.0,16021.556579408403,2,321,1
682,18692.0,-94.85280138236152,29.254037280241544,430.0,3452.61251295593,2,338,1
683,12595.0,-94.77389108608364,29.316560491275784,436.0,482.7977952884516,6,48,0
684,20042.0,-95.01341632654234,29.174297229206683,418.0,21811.99969261197,1,220,1
685,11911.0,-94.77467385017445,29.31946377678156,436.0,816.9971865453488,3,538,2
686,13584.0,-94.83854210405646,29.259350832932146,430.0,1737.2971107881194,1,609,1
687,21400.0,-94.40394936243278,29.557823743737252,440.0,34560.53547060636,3,34,2
688,10616.0,-94.77601483995922,29.311984554626974,436.0,675.1699099414456,3,493,1
689,697.0,-94.79992175851442,29.29619509442856,432.0,3155.1556029517274,3,494,0
690,17186.0,-94.84891156668851,29.264792204872965,430.0,2635.1604051301883,0,210,0
691,27368.0,-96.07531765269486,28.729709908495103,3.0,61359.652304286225,6,377,1
692,9434.0,-94.80450844226907,29.30030965773396,432.0,3521.13666379797,2,41,1
693,14832.0,-94.83185346135161,29.265477823195795,430.0,740.0966860600435,1,188,1
694,17353.0,-94.84243113460191,29.262341186707165,430.0,1979.6399551378956,0,7,0
695,15233.0,-94.85908751154712,29.284502080779294,428.0,346.49097627681,2,184,2
696,7116.0,-94.81830421863363,29.28202396041204,430.0,2118.344995342744,5,661,0
697,22788.0,-95.36775922120447,28.933913875812788,236.0,1899.1890993392747,1,679,2
698,3969.0,-94.80777243761625,29.278750949165037,430.0,2495.113091862504,2,103,2
699,21264.0,-94.58036893693901,29.479816376304612,431.0,26740.226576564175,2,479,1
700,694.0,-94.80661007333416,29.293161746939123,429.0,3462.680244809311,1,171,2
701,4182.0,-94.80468918869414,29.280938376300654,430.0,2937.5103769205625,3,394,1
702,26453.0,-95.93871311209163,28.760137470281,236.0,66855.60142327924,5,245,1
703,6017.0,-94.82488736947971,29.290352938254053,429.0,1396.7990902552324,4,666,0
704,16077.0,-94.87281220152829,29.283070929601262,428.0,1242.0156253398122,3,26,0
705,13126.0,-94.83625510473418,29.26529084852012,430.0,1227.5384630075212,1,510,0
706,10587.0,-94.77648992567534,29.309749571351162,432.0,751.7594953698529,6,705,0
707,14660.0,-94.8365297538525,29.263570039619793,430.0,1305.2212039384215,0,103,1
708,18699.0,-94.87295301963559,29.26725526532113,428.0,2624.4545943511166,2,11,0
709,16461.0,-94.85884172709548,29.285246970011983,428.0,352.43300877435973,5,266,0
710,7329.0,-94.81615489870508,29.284456973981193,429.0,2409.9000363987266,3,470,0
711,13803.0,-94.8341401085343,29.262297114776636,430.0,1123.8144180926622,2,271,0
712,18807.0,-94.8607451080622,29.24834642219774,430.0,4578.821019034139,2,140,1
713,30517.0,-95.408571077849,29.110089464052322,219.0,13642.74678044479,3,440,0
714,33020.0,-95.31557046199796,28.9687759002333,257.0,5238.302655256577,3,278,1
715,11829.0,-94.7696007565412,29.318573200448366,436.0,567.7629816816828,3,303,1
716,11558.0,-94.77095213624055,29.31732261022022,436.0,402.1693265232756,1,221,0
717,25611.0,-95.92698417324459,28.84169956082408,236.0,62648.37766865303,3,535,0
718,8506.0,-94.79426379156261,29.300076906584113,432.0,2407.8613318976377,4,589,1
719,18752.0,-94.85000281045124,29.26087784143978,430.0,2841.8713807760614,3,300,1
720,9633.0,-94.80127814542315,29.298573264354985,432.0,3211.9400297169177,3,321,0
721,1061.0,-94.79951623024907,29.297028843559055,432.0,3077.760125611177,1,95,2
722,6953.0,-94.82175605440167,29.284708069804577,429.0,1797.6954345617846,2,160,1
723,28879.0,-96.205893584155,28.720222236574866,3.0,53450.85953933531,1,527,2
724,11459.0,-94.77013057031935,29.319451985829158,436.0,672.2497935393128,1,202,1
725,1773.0,-94.79886266186243,29.286241121095923,432.0,3688.162817124206,3,242,0
726,31487.0,-95.21382851888187,29.109314129036395,219.0,23605.38841810159,1,283,0
727,7403.0,-94.82578858811884,29.27885388096584,430.0,1564.9210387620835,5,257,1
